listing_id;description;room_type;price;neighborhood_full;host_name;last_review
7679697;Midtown West Modern Charming 1BD Apt near Times Sq;Entire home/apt;200 dollars;Manhattan, Hell's Kitchen;Paul;21/05/2010
7679943;Colorful 2 bedroom in great Brooklyn neighborhood;Entire home/apt;128 dollars;Brooklyn, Windsor Terrace;Joyce;21/06/2025
7680504;Ground Fl Apt. w/ backyard-Long term stay welcomed;Entire home/apt;150 dollars;Brooklyn, Bedford-Stuyvesant;Miss Carolyn;21/05/1931
7680750;New 2BR+1BA For Up To 6 Ppl Only 15 Min To NYCity;Entire home/apt;100 dollars;Brooklyn, Bedford-Stuyvesant;Jullien;21/06/2018
7686940;The Wielingen;private room;95 dollars;Bronx, Longwood;Jimmy;21/01/2001
7688839;Garden Apt in Historic Brownstone!;Entire home/apt;147 dollars;Brooklyn, Cobble Hill;Lisa;21/06/2016
7692326;Designer 5 BR home by Prospect Park;ENTIRE HOME/APT;225 dollars;Brooklyn, Crown Heights;Cassandra;21/06/1930
7692660;Prolonged Traveler's Dream(a month first & more);Private room;40 dollars;Bronx, Hunts Point;Ikkyukim;21/06/2029
7692870;Privacy in Unique  Shipping Container Home;Private room;120 dollars;Brooklyn, Williamsburg;Janet-David;21/06/2028
7695043;Beautiful studio aprt Cobble Hill, BK;ENTIRE HOME/APT;160 dollars;Brooklyn, Boerum Hill;Rachel;21/06/2006
7696645;BrooklynBridge/Ft Greene;ENTIRE HOME/APT;215 dollars;Brooklyn, Navy Yard;Dolores;21/07/2006
7697504;Industrial style Artist loft;Entire home/apt;175 dollars;Brooklyn, Greenpoint;K.;21/06/2002
7698593;Bedstuy Brownstone Duplex w/ HUGE Backyard;Entire home/apt;200 dollars;Brooklyn, Bedford-Stuyvesant;Cody;21/05/2027
7698722;2 BR Brownstone Retreat, 2nd Fl.;Entire home/apt;99 dollars;Brooklyn, Bedford-Stuyvesant;Neil;21/06/2023
7699037;Airy Basement Apartment;Private room;45 dollars;Manhattan, Washington Heights;Ezra;21/01/2005
7700054;Carroll Gardens Retreat;ENTIRE HOME/APT;150 dollars;Brooklyn, Carroll Gardens;Gianni;21/05/2019
7711451;Manhattan/ private room & private toilet.;Private room;61 dollars;Manhattan, Little Italy;Asger;21/07/2007
7712750;—Å–?–µ—Ç–ª–?—è –?–æ–º–?–?—Ç–? —Å –±–?–ª–?–æ–?–æ–º;Private room;45 dollars;Brooklyn, Sheepshead Bay;Galina;21/06/2012
7714664;Authentic Apartment in the heart of Brooklyn;Entire home/apt;72 dollars;Brooklyn, East New York;Katja;21/06/2024
7715342;Beautiful Home Away From Home;Private room;59 dollars;Brooklyn, Crown Heights;Kat;21/06/2022
7717598;Cozy Brooklyn Private Home;Entire home/apt;35 dollars;Brooklyn, Bedford-Stuyvesant;Johari;21/01/2021
7717785;George Washington Bridge Delight- Entire Apt!;Entire home/apt;150 dollars;Manhattan, Washington Heights;Sally;21/06/1930
7718452;Cosy and Convenient Carroll Garden;ENTIRE HOME/APT;147 dollars;Brooklyn, Carroll Gardens;Gianni;21/05/2027
7718995;Private Space with Outdoor Patio;Private room;182 dollars;Manhattan, Upper West Side;Jessica;21/06/2010
7724865;Gramercy Apartment;Private room;175 dollars;Manhattan, Kips Bay;Ben;21/06/2024
7725825;COMFORT 25 MINS FROM NEW YORK;entire home/apt;79 dollars;Queens, Ozone Park;Adria;21/04/2015
7727061;Bright Private room NYC Near train;private room;35 dollars;Queens, Astoria;Daljit;21/06/1930
7727798;Room with its private bathroom and garden access;Private room;86 dollars;Brooklyn, Bedford-Stuyvesant;Diana;21/07/2002
7728553;GR8 CARROLL GARDENS/ENTIRE STUDIO/!;entire home/apt;150 dollars;Brooklyn, Carroll Gardens;Sol;21/05/2009
7733896;Big Master bedroom with attached Private Bathroom;PRIVATE ROOM;220 dollars;Brooklyn, Bedford-Stuyvesant;Blake;21/06/2002
7734034;Ocean view studio with balcony;ENTIRE HOME/APT;125 dollars;Queens, Arverne;Yin;21/06/2024
7734176;Spacious two bedroom in NYC;ENTIRE HOME/APT;300 dollars;Manhattan, Hell's Kitchen;Angela;21/01/2001
7734670;Prolonged Traveler's Dream (a month first & more);PRIVATE ROOM;37 dollars;Bronx, Hunts Point;Ikkyukim;21/02/2028
7742486;Charming Park Slope 1BR! Near F, G, R;ENTIRE HOME/APT;145 dollars;Brooklyn, Park Slope;Maia;21/01/2003
7746872;Stylish 2BR! 5 min to Central Park!;entire home/apt;195 dollars;Manhattan, East Harlem;Noa;21/06/2006
7749069;Large 1BR apt only 20 minutes to Manhattan.;entire home/apt;120 dollars;Brooklyn, Borough Park;Joel;21/06/2015
7749472;Sunny Peaceful Harlem Space;PRIVATE ROOM;60 dollars;Manhattan, Harlem;Miriam;21/06/2004
7749763;Shared male Room on Manhattan. Amazing view! II;SHARED ROOM;35 dollars;Manhattan, Lower East Side;Max;21/02/2016
7749818;Dream bedroom with private bathroom.;Private room;93 dollars;Manhattan, Harlem;John;21/06/2016
7760204;LG, quiet room nr Cloisters, A, 1;private room;22 dollars;Manhattan, Inwood;Mary;21/01/2002
7762374;Artsy townhouse in Sugar Hill (Manhattan);Entire home/apt;450 dollars;Manhattan, Harlem;David;21/06/2028
7763203;Large comfy room in Victorian home;Private room;89 dollars;Brooklyn, Bedford-Stuyvesant;Mary;21/06/2015
7763869;The Dream Room near Barclays Center;private room;65 dollars;Brooklyn, Prospect-Lefferts Gardens;Anita;21/05/2014
7768661;Brand new Manhattan Apartment sleeps 7!;Entire home/apt;238 dollars;Manhattan, Upper West Side;Rachel;21/04/2003
7769782;Beautiful Room in Bushwick.;PRIVATE ROOM;63 dollars;Brooklyn, Bedford-Stuyvesant;Patricia;21/06/2028
7769946;Lovely House in the Hill/ 2bedrm apt;Entire home/apt;150 dollars;Brooklyn, Fort Greene;Kevin;21/06/2013
7770735;Private Room close to subway (3/3);Private room;75 dollars;Queens, Jackson Heights;Esteban;21/06/2022
7771351;NYC Queen size Bedroom w/private  bathroom.;Private room;59 dollars;Bronx, Pelham Bay;Ray;21/06/2006
7774167;Basement Beach Apartment, Rockaways;ENTIRE HOME/APT;70 dollars;Queens, Rockaway Beach;Vanda;21/07/2002
7774182;Family House 7 Minutes To Manhattan;entire home/apt;289 dollars;Queens, Astoria;Beatriz & Will;21/06/1930
7774373;I Love NY Studio Deluxe;Entire home/apt;245 dollars;Manhattan, Chelsea;Jules;21/07/2002
7775879;2br Near Brooklyn Bridge;entire home/apt;165 dollars;Brooklyn, Fort Greene;Danuza;21/06/2021
7783855;Cozy 2 Bedrooms Bedstuy,Brooklyn;ENTIRE HOME/APT;175 dollars;Brooklyn, Bedford-Stuyvesant;Gerald;21/06/2015
7785952;Spacious Studio UES;ENTIRE HOME/APT;170 dollars;Manhattan, Upper East Side;William;21/05/2027
7787983;**Caribbean Blush-8 mins to JFK**;private room;52 dollars;Queens, Jamaica;Mrs. T;21/06/2024
7789152;Charming exposed brick apartment;Entire home/apt;175 dollars;Manhattan, Lower East Side;Dipak;21/04/2017
7789850;Huge Room with Private Backyard - 25% OFF;Private room;80 dollars;Brooklyn, Crown Heights;Reuben;21/06/1930
7790838;Quiet, Charming Studio in UES;Entire home/apt;142 dollars;Manhattan, Upper East Side;Kelsie;21/04/2027
7791636;**Dominique's NYC couch bed **sleep*shower &  go**;Shared room;45 dollars;Bronx, Eastchester;Vie;21/04/2020
7798542;Cozy and Homey Brooklyn Apartment;Entire home/apt;80 dollars;Brooklyn, Flatbush;Tamar;21/05/2027
7799045;Fabulous 2 bedroom apartment in Harlem;Entire home/apt;173 dollars;Manhattan, Harlem;Laila;21/05/1931
7800835;Big 1.5 bedroom on a great block-Private apt;Entire home/apt;160 dollars;Brooklyn, Bedford-Stuyvesant;Kristian;21/07/2002
7800905;Sunlit oasis in WILLIAMSBURG BK;Private room;116 dollars;Brooklyn, Williamsburg;Alex;21/05/2007
7801169;Spacious apt in the heart of EV;Entire home/apt;150 dollars;Manhattan, East Village;Emma;21/04/2009
7801262;COZY ZEN 1 bedroom, top of CENTRAL PARK!  safe :);Entire home/apt;104 dollars;Manhattan, Harlem;Mei;21/06/2008
7801783;Private 2 Bedroom Apartment in the East Village;ENTIRE HOME/APT;200 dollars;Manhattan, East Village;Darren;21/04/2008
7804337;Williamsburg Studio Apartment;Entire home/apt;94 dollars;Brooklyn, Williamsburg;Emma Leigh;21/06/2016
7806322;Beautiful Zen 3BR Apartment;ENTIRE HOME/APT;155 dollars;Brooklyn, East New York;Greg;21/07/2003
7809535;Brooklyn Brownstone Beautiful;Entire home/apt;145 dollars;Brooklyn, Clinton Hill;Julia;21/06/2008
7814575;Charming Park Slope 2 bed w/Garden;Entire home/apt;195 dollars;Brooklyn, Park Slope;Jana;21/04/2019
7819539;1BR GARDEN APT 25 MIN TO MANHATTAN;ENTIRE HOME/APT;100 dollars;Brooklyn, East Flatbush;Anna;21/05/2022
7820423;Large 2 Bedroom apt near Union Sq;Entire home/apt;425 dollars;Manhattan, Greenwich Village;Heidi;21/06/2016
7823495;Elegant Oasis - Private Roof Terrace;Entire home/apt;800 dollars;Manhattan, Chelsea;Ola;21/06/2008
7823546;Cozy 1 bdrm in a 2 Bdr apt. Great location.;Private room;70 dollars;Brooklyn, Williamsburg;Ramiro;21/06/2007
7824945;Small Room on the Upper West Side;Private room;75 dollars;Manhattan, Upper West Side;C;21/07/2003
7826033;Sapphire Suite;PRIVATE ROOM;88 dollars;Manhattan, Harlem;Luke;21/06/2021
7827908;Private Entrance/ Private Bathroom;private room;63 dollars;Brooklyn, Bushwick;Faith;21/06/2008
7834765;‚ú¶Artsy Loft Master Suite‚ú¶Private Bath/High Ceiling;Private room;90 dollars;Brooklyn, Clinton Hill;Hsiang Wei;21/06/2029
7837685;Bright bedroom with private bathroom;private room;75 dollars;Brooklyn, Crown Heights;Romina;21/05/2021
7837816;Bright, Cozy room in Brooklyn;Private room;60 dollars;Brooklyn, Bedford-Stuyvesant;Edgar;21/07/2002
7837952;Excellent Location Gramercy Studio;Entire home/apt;221 dollars;Manhattan, Flatiron District;Julia;21/06/2017
7838393;Stunning 2bed/2bath W'burg luxury apt w/ VIEWS!;Entire home/apt;500 dollars;Brooklyn, Williamsburg;Georgia;21/05/1930
7842276;Charming & Colorful 1BR in Brooklyn;ENTIRE HOME/APT;108 dollars;Brooklyn, Boerum Hill;Alyssa;21/04/2025
7843320;Bright Airy 1 Bed in Williamsburg;Entire home/apt;150 dollars;Brooklyn, Williamsburg;Mathew;21/04/2028
7843582;Spacious, Quiet One Bedroom Apt;Entire home/apt;119 dollars;Brooklyn, Crown Heights;Josh;21/07/2001
7843604;Big, cozy & chic! 1BR Apt in Harlem;entire home/apt;100 dollars;Manhattan, Harlem;Calatayud Family;21/06/2014
7850400;Quiet charming  Duplex;Entire home/apt;295 dollars;Manhattan, Lower East Side;Haim;21/07/2001
7851219;#NAME?;PRIVATE ROOM;60 dollars;Brooklyn, Williamsburg;John;21/06/2018
7853561;2Br~Union square~Newly furnished;Entire home/apt;200 dollars;Manhattan, Gramercy;Host;21/01/2013
7854307;#NAME?;private room;60 dollars;Brooklyn, Williamsburg;John;21/06/2015
7856476;Private floor with private half-bath, living area;private room;69 dollars;Staten Island, Randall Manor;Natalie;21/06/2007
7856749;Easy Access, Cute Space;ENTIRE HOME/APT;123 dollars;Brooklyn, Boerum Hill;Benjamin;21/04/1930
7857185;Midtown great location private Apt;Entire home/apt;135 dollars;Manhattan, Midtown;George;21/06/2019
7858468;The Artist's Experience;Private room;99 dollars;Manhattan, Hell's Kitchen;Jeffrey;21/07/2007
7858532;Cozy artsy space in Brooklyn;private room;55 dollars;Brooklyn, Crown Heights;Christine;21/05/1931
7858673;#NAME?;Private room;60 dollars;Brooklyn, Williamsburg;John;21/06/2008
7859630;Brooklyn Room Available (furnished);PRIVATE ROOM;40 dollars;Brooklyn, Bedford-Stuyvesant;Sean;21/05/2013
7859723;Spacious Studio in Chelsea;entire home/apt;120 dollars;Manhattan, Chelsea;Andy;21/06/2016
7860155;Private bedroom in the heart of NYC;Private room;89 dollars;Manhattan, Upper East Side;Aldi;21/06/2023
7862762;Spacious pre-war apartment;Entire home/apt;150 dollars;Manhattan, Financial District;Justine;21/06/2023
7869876;Entire floor of house Very Private 2BR suite,SUNNY;ENTIRE HOME/APT;90 dollars;Bronx, Port Morris;Eileen;21/06/1930
7870258;- C - Cozy Secure Private Room in a Shared Loft;private room;60 dollars;Brooklyn, Williamsburg;John;21/06/2015
7870403;Mins to Manhattan and Williamsburg!;Entire home/apt;138 dollars;Queens, Long Island City;Sachiko;21/06/2021
7871818;Artist/Musician Apartment, Bushwick;Private room;109 dollars;Brooklyn, Bushwick;Tom & Nic;21/06/2027
7871858;Putnam Garden -2BDR Garden Apt;Entire home/apt;135 dollars;Brooklyn, Bedford-Stuyvesant;Keisha;21/06/2026
7871985;Your Perfect Home Away From Home;Entire home/apt;58 dollars;Queens, Astoria;Lou;21/03/2019
7873655;#NAME?;PRIVATE ROOM;60 dollars;Brooklyn, Williamsburg;John;21/06/2021
7877599;Luxury Townhouse in Brownstone Brooklyn;Entire home/apt;275 dollars;Brooklyn, South Slope;Andrew;21/04/1930
7886635;#NAME?;Private room;60 dollars;Brooklyn, Williamsburg;John;21/06/2018
7887966;The City Farmhouse APT B **MONTHLY RENTALS**;Entire home/apt;100 dollars;Queens, Astoria;Angele;21/03/2028
7889596;Large sunny room close to N&D train LGBTQ friendly;PRIVATE ROOM;79 dollars;Brooklyn, Bensonhurst;Jacob;21/06/2022
7891403;BIG SUNNY 2 1/2 BR, 1 STOP FR. NYC;entire home/apt;285 dollars;Brooklyn, Fort Greene;Charlotta;21/05/2027
7894007;MyPlace2Beach;Private room;200 dollars;Queens, Arverne;D.;21/06/2024
7900575;Charming, quiet West Village studio;Entire home/apt;200 dollars;Manhattan, West Village;Beatriz;21/06/2002
7900908;Clean Cozy & Comfy Apartment!;entire home/apt;250 dollars;Manhattan, Gramercy;Ben;21/06/2011
7900957;Delightful Refuge in Bedstuy;Private room;74 dollars;Brooklyn, Bedford-Stuyvesant;Seun And Marie;21/06/2024
7901635;#NAME?;Private room;60 dollars;Brooklyn, Williamsburg;John;21/06/2023
7902556;Room in NYC Financial district apt;Private room;98 dollars;Manhattan, Financial District;Richy;21/06/2001
7908355;Loft Bedroom in Clinton Hill, Brooklyn;Private room;108 dollars;Brooklyn, Clinton Hill;Luke;21/06/2015
7911437;Private Studio in Queens;Entire home/apt;60 dollars;Queens, Maspeth;Monika;21/06/2028
7911917;Beautiful Studio // East Village;Entire home/apt;140 dollars;Manhattan, East Village;Suraj;21/06/2029
7914369;Charming 1 Bedroom Garden Apt!;Entire home/apt;120 dollars;Brooklyn, Bedford-Stuyvesant;Alex;21/07/2003
7915596;Large, Bright NYC Room Near Trains;Private room;75 dollars;Brooklyn, Bushwick;Arianna & Z;21/06/2010
7917251;Amazing LES apt - cool, bright...;Entire home/apt;95 dollars;Manhattan, Lower East Side;Amy;21/06/2023
7919372;Cozy & Clean #6;Private room;75 dollars;Brooklyn, Crown Heights;Fatou;21/06/2016
7920072;East Village - private room - chill;PRIVATE ROOM;96 dollars;Manhattan, East Village;James;21/06/2028
7920170;Sunny room in a contemporary modern apartment;private room;50 dollars;Manhattan, Washington Heights;Adrian;21/06/2005
7927838;Spacious Sunny Brownstone Room - Great Location!;Private room;95 dollars;Brooklyn, Bedford-Stuyvesant;Jason;21/06/2021
7929441;Beautiful Loft w/ Waterfront View!;Private room;105 dollars;Brooklyn, Williamsburg;Anthony;21/06/2019
7933257;Artist's brownstone apartment in Brooklyn;ENTIRE HOME/APT;120 dollars;Brooklyn, Bedford-Stuyvesant;Rosie;21/01/2001
7936161;Room in a Beautiful East Village Apt!;Private room;71 dollars;Manhattan, East Village;Asif;21/04/1930
7937398;Serene Brownstone Living Close To It All!;private room;72 dollars;Brooklyn, Bedford-Stuyvesant;Jason;21/06/2016
7945940;Roof garden & River Sunsets Zen;entire home/apt;225 dollars;Manhattan, West Village;Jeeku;21/06/2024
7949480;City Island Sanctuary BR & Pvt Bath ?† la fran?ßaise;Private room;107 dollars;Bronx, City Island;Linda & Didier;21/06/1930
7951281;Brand new 2BR heart of Fort Greene;entire home/apt;200 dollars;Brooklyn, Fort Greene;Jonathan;21/07/2004
7951346;Cozy Room with private balcony close to La Guardia;PRIVATE ROOM;42 dollars;Queens, East Elmhurst;Andres And Salina;21/07/2006
7952963;Gorgeous Pre War Sanctuary - 1 block from Union Sq;Private room;160 dollars;Manhattan, Gramercy;Julia;21/07/2001
7955889;Gorgeous, clean, room for rent.;private room;73 dollars;Manhattan, Harlem;Nkatha;21/06/2014
7955984;Elegant Accommodation On A Budget!;PRIVATE ROOM;73 dollars;Manhattan, Harlem;Nkatha;21/06/2019
7966943;BEAUTIFUL 1 BDR APT W/ PRIVATE ROOF;Entire home/apt;400 dollars;Manhattan, East Village;Rebecca;21/01/2002
7967503;Perfect midtown west studio;entire home/apt;165 dollars;Manhattan, Hell's Kitchen;Paolo;21/06/2019
7967922;Big Private Room in Ridgewood;Private room;52 dollars;Queens, Ridgewood;Siebren;21/03/2010
7968983;4 bedroom 3 bath duplex w roof deck & washer/dryer;Entire home/apt;275 dollars;Brooklyn, East New York;Donavan;21/07/2003
7969111;Charming Chelsea Flat;private room;135 dollars;Manhattan, Chelsea;Jose;21/07/2002
7970578;Magical 3-bed/3-bath fabulous views;Entire home/apt;350 dollars;Brooklyn, Greenpoint;Ruth;21/06/2022
7972210;Large room in Bushwick!;PRIVATE ROOM;100 dollars;Brooklyn, Bushwick;Julie;21/06/2022
7973484;Sunny Apt. on the UES in NYC;Entire home/apt;115 dollars;Manhattan, Upper East Side;Nina;21/02/2008
7975360;Harlem Row House 2 BDRM Apt-City Col/Columbia Univ;entire home/apt;180 dollars;Manhattan, Harlem;Lovelynn;21/07/2004
7979237;New Guest Room at Brooklyn&Breakfast;PRIVATE ROOM;60 dollars;Brooklyn, Prospect Heights;Brooklyn&   Breakfast    -Len-;21/07/2001
7983640;Great Loft Steps From All Williamsburg Hotels;Entire home/apt;250 dollars;Brooklyn, Williamsburg;Erica;21/05/2019
7985333;Chic, Modern 2 Bedroom in Bright, Airy High Rise;entire home/apt;400 dollars;Manhattan, Chelsea;Nick;21/07/2006
7987209;Floor 35th in the heart of New York;Entire home/apt;1195 dollars;Manhattan, Theater District;Ricardo;21/06/2002
7987212;Large Private Bedroom in Williamsburg;PRIVATE ROOM;68 dollars;Brooklyn, Williamsburg;Ben;21/07/2003
7987971;Comfy Room in Trendy Brooklyn!;Private room;70 dollars;Brooklyn, Clinton Hill;Tzooli And Ay;21/07/2001
7988411;Heart of Greenwich Village!;Private room;75 dollars;Manhattan, Greenwich Village;Kathleen;21/01/2001
7995078;A King Size Bed in private room in NYC!;Private room;65 dollars;Manhattan, Harlem;Chad & David;21/07/2002
7995140;Loft with garden  - Williamsburg;Entire home/apt;170 dollars;Brooklyn, Williamsburg;Etienne;21/05/2027
7999574;Beautiful 3bdrm Apt w/ 2 Entrances!;Entire home/apt;280 dollars;Brooklyn, Prospect Heights;Marianne;21/04/2018
8000716;luxury 1 bedroom apartment  midtown Manhattan;entire home/apt;250 dollars;Manhattan, Chelsea;Ronnie;21/06/2016
8002080;Luxury  suite.(private);entire home/apt;65 dollars;Brooklyn, Bensonhurst;Wilson;21/07/2006
8005645;BEST DEAL ‚Äì 1BR APT ‚Äì 15 MIN from MANHATTAN!;Entire home/apt;130 dollars;Queens, Sunnyside;James;21/01/2003
8007908;Rare Find: Stylish West Village Townhouse;Entire home/apt;375 dollars;Manhattan, West Village;Coco;21/02/2019
8009332;My cozy artistic Apartment;Shared room;48 dollars;Brooklyn, Sheepshead Bay;Maggie;21/07/2005
8010033;Upscale Apt blocks to Columbia Med./Presb. Hosp.;entire home/apt;110 dollars;Manhattan, Washington Heights;Christian;21/06/2028
8011605;Sunny, Clean, Safe, Zen!;Private room;72 dollars;Manhattan, Chinatown;C-S;21/05/2011
8012976;Master Suite w/ Private Bath in Financial District;Private room;120 dollars;Manhattan, Financial District;Donna;21/06/2015
8013358;Bedford-Stuyvesant 3 bedroom 2 bathroom duplex;Entire home/apt;240 dollars;Brooklyn, Bedford-Stuyvesant;Terrie;21/06/2024
8024051;Spacious 2BD near Prospect Park!;entire home/apt;150 dollars;Brooklyn, Prospect Heights;Gwen;21/05/2015
8025808;Mid-Century Modern Oasis in the LES;ENTIRE HOME/APT;300 dollars;Manhattan, Chinatown;Momo;21/05/2021
8033609;Studio Apartment with King Bed;private room;119 dollars;Brooklyn, Gowanus;Alec;21/06/2019
8044856;Williamsburg/Billburg/The Burg;Entire home/apt;135 dollars;Brooklyn, Williamsburg;Erin;21/06/2022
8045552;"A Gem Studio Apartment 
Astoria,NYC";Entire home/apt;87 dollars;Queens, Astoria;Tony;21/06/2017
8054651;Private Sunlight Room in Brownstone Near Subway;Private room;79 dollars;Brooklyn, Bedford-Stuyvesant;Brady;21/06/2027
8055508;Private Spring Room in Brownstone Near Subway;Private room;69 dollars;Brooklyn, Bedford-Stuyvesant;Brady;21/07/2001
8055582;Private Autumn Room in Brownstone Near Subway;Private room;79 dollars;Brooklyn, Bedford-Stuyvesant;Brady;21/06/2009
8055598;SPACIOUS APT, A/C, WIFI, SUBWAY!;entire home/apt;147 dollars;Manhattan, Washington Heights;Vinny;21/07/2004
8055721;Private Garden View in Brownstone Near Subway;Private room;79 dollars;Brooklyn, Bedford-Stuyvesant;Brady;21/06/2029
8055778;Classic Elegance in Brownstone Near Subway;private room;69 dollars;Brooklyn, Bedford-Stuyvesant;Brady;21/07/2002
8055859;Private Bedroom and Bath in Spacious Duplex;Private room;70 dollars;Brooklyn, Bushwick;Seth;21/06/2029
8058693;Large Bedroom & Private Bath ‚Äì 15 min fr Manhattan;PRIVATE ROOM;119 dollars;Brooklyn, Clinton Hill;Amelie & Pascal;21/06/2010
8061409;Private Bedroom in Quiet Brooklyn Neighborhood;PRIVATE ROOM;49 dollars;Brooklyn, Bushwick;Joe;21/06/2009
8065272;Bright & quiet West Village studio;entire home/apt;179 dollars;Manhattan, West Village;Irene;21/01/2001
8066385;Share A Rustic Forte Greene studio w/ adorable cat;Entire home/apt;104 dollars;Brooklyn, Clinton Hill;Stephanie;21/05/2019
8068363;Big Bedroom with Private Bathroom;Private room;89 dollars;Brooklyn, Williamsburg;Evy;21/06/2027
8069030;Clinton Hill Flat;Entire home/apt;999 dollars;Brooklyn, Clinton Hill;John;21/04/2028
8069858;Room avail in Bowery neighborhood;PRIVATE ROOM;59 dollars;Manhattan, Chinatown;Josh;21/06/2016
8071687;Historic Townhouse Apartment;ENTIRE HOME/APT;350 dollars;Manhattan, SoHo;Timur;21/07/2005
8072371;‚ù§Ô?è Beautiful Artistic 2 Level Brownstone ‚ù§Ô?èLEGAL‚ù§Ô?è;Entire home/apt;395 dollars;Brooklyn, Bedford-Stuyvesant;Sarah;21/06/2003
8075854;The Manhattan Studio;Entire home/apt;180 dollars;Manhattan, Midtown;Henri;21/07/2002
8081037;Lavish Studio with Great Amenities in FiDi;Entire home/apt;189 dollars;Manhattan, Financial District;Kara;21/01/2028
8081193;2 bedroom Home..2 metro/train stops to NY City;Entire home/apt;195 dollars;Queens, Long Island City;Alexandra;21/07/2002
8086028;Nicely furnished one bedroom apt;ENTIRE HOME/APT;140 dollars;Brooklyn, Greenpoint;Ersellia;21/07/2004
8088779;[201] 5 min WALK to Times Square;shared room;250 dollars;Manhattan, Hell's Kitchen;Yasu & Akiko;21/06/2007
8089062;Cozy bed in Midtown;SHARED ROOM;55 dollars;Manhattan, Midtown;Phuong;21/06/2022
8097567;Giant Sunny Room at Brooklyn&Breakfast;Private room;85 dollars;Brooklyn, Prospect Heights;Brooklyn&   Breakfast    -Len-;21/06/2027
8106774;BRIGHT HARLEM FLOOR THRU;entire home/apt;165 dollars;Manhattan, Harlem;Mel;21/06/2028
8108376;home, sweet home :-)  English, —Ä—É—Å—Å–?–?–?,  ?¢?ë?®?ô?™;Entire home/apt;100 dollars;Queens, Fresh Meadows;Irisha;21/06/2009
8111321;Huge 1 BR entire apt;Entire home/apt;70 dollars;Queens, Astoria;Cory;21/01/2011
8115321;Private Room close to subway (1/3);PRIVATE ROOM;75 dollars;Queens, Jackson Heights;Esteban;21/06/2017
8115423;Private Room close to subway (2/3);private room;75 dollars;Queens, Jackson Heights;Esteban;21/06/2023
8117209;Location Dali ( rail road room ) only girls.;Private room;37 dollars;Queens, Long Island City;Petya;21/06/2012
8118112;Bed-Stuy Brooklyn Garden Apartment;entire home/apt;125 dollars;Brooklyn, Bedford-Stuyvesant;Gregory;21/06/2019
8119018;Private Room In Upper East Side;Private room;110 dollars;Manhattan, Upper East Side;Dogan;21/05/2027
8125640;Amazing Water View from Midtown Apt;private room;100 dollars;Manhattan, Murray Hill;Jacob;21/05/2021
8126091;Spacious Quiet Room;PRIVATE ROOM;50 dollars;Brooklyn, Williamsburg;Chris;21/04/2017
8126282;Quintessential West Village apartment;Entire home/apt;205 dollars;Manhattan, West Village;Ilton;21/06/2023
8126777;Sunlit Oasis in WILLIAMSBURG BK (2 Bedrooms);Entire home/apt;90 dollars;Brooklyn, Williamsburg;Alex;21/07/2001
8132082;Lovely 1br in Heart of Brooklyn;Entire home/apt;103 dollars;Brooklyn, Bedford-Stuyvesant;Rebecca;21/01/2001
8133275;Victorian House near Brooklyn College;ENTIRE HOME/APT;97 dollars;Brooklyn, East Flatbush;George;21/06/1930
8135144;Time Square! 2 Fully Furnished apt!;Entire home/apt;245 dollars;Manhattan, Hell's Kitchen;Vapee;21/06/2021
8145603;Spacious, Beautiful, Private Room;Private room;80 dollars;Queens, Ditmars Steinway;Ardis;21/06/2021
8151782;Prospect Park Cozy Abode;Entire home/apt;100 dollars;Brooklyn, Prospect-Lefferts Gardens;Michelle;21/06/2012
8151925;Modern Studio in Cultural LES;Entire home/apt;159 dollars;Manhattan, Lower East Side;Autumn;21/06/2024
8152675;CLEAN & COZY 2 bedroom apartment;ENTIRE HOME/APT;200 dollars;Manhattan, East Village;Angela;21/06/2024
8155028;Battery Park Monthly rental, great location.;entire home/apt;165 dollars;Manhattan, Battery Park City;Pat;21/04/2026
8160542;Private Balcony and views of WTC!;Private room;100 dollars;Manhattan, Tribeca;Leyla;21/06/2022
8162607;Brownstone Apt near Central Park;Entire home/apt;185 dollars;Manhattan, Upper West Side;Alyshia;21/07/2002
8164402;Luxury, Cozy 1BD, walk to CentrPark;Entire home/apt;159 dollars;Manhattan, Upper East Side;Jennifer;21/06/2025
8167182;Central Park North 1 Bedroom Apt;ENTIRE HOME/APT;150 dollars;Manhattan, Harlem;Maria;21/06/2016
8167884;Greenpoint Brooklyn Modern Charm;Entire home/apt;165 dollars;Brooklyn, Greenpoint;Robbin;21/06/2006
8168619;Steps away from Laguardia airport;Private room;46 dollars;Queens, East Elmhurst;Maya;21/07/2001
8170072;179st Hub Room with balcony;PRIVATE ROOM;50 dollars;Queens, Jamaica;Jeff;21/05/1931
8172995;Open Plan & Garden Brownstone Apt;Entire home/apt;150 dollars;Manhattan, East Harlem;Danielle;21/06/2010
8173434;LOFT2bdrm apt near metro20min to Manhattan/wall st;entire home/apt;239 dollars;Brooklyn, Bedford-Stuyvesant;Rebekah;21/06/2018
8173559;Bright Private Room with Big Closet;Private room;70 dollars;Brooklyn, Sunset Park;Fidelia;21/05/2004
8173609;Cozy Apartment Next To Central Park;ENTIRE HOME/APT;200 dollars;Manhattan, Harlem;Lenny;21/06/2021
8174635;Modern Brooklyn Apartment;Entire home/apt;45 dollars;Brooklyn, Bedford-Stuyvesant;Michelle;21/06/2022
8183563;Quiet, Clean, Beautiful East Village Loft;ENTIRE HOME/APT;250 dollars;Manhattan, East Village;Dave;21/06/2022
